area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
39215688,1,274138038,274138128,90,103,101,39215688,1,420,274138548,274138628,80,83,106,39215688,1,836,274139464,274139528,64,79,128,39215688,1,210,274139738,274139845,107,67,102,39215688,1,1388,274141233,274141312,79,65,89,39215688,1,252,274141564,274141637,73,87,130,1,pin-length-6
39215688,1,274146689,274146757,68,79,112,39215688,1,236,274146993,274147057,64,79,109,39215688,1,176,274147233,274147298,65,71,94,39215688,1,362,274147660,274147724,64,75,81,39215688,1,242,274147966,274148024,58,63,106,39215688,1,218,274148242,274148299,57,101,132,1,pin-length-6
39215688,1,274153693,274153774,81,72,77,39215688,1,269,274154043,274154109,66,69,131,39215688,1,159,274154268,274154316,48,78,80,39215688,1,227,274154543,274154616,73,38,93,39215688,1,152,274154768,274154808,40,32,97,39215688,1,178,274154986,274155042,56,90,117,1,pin-length-6
39215688,1,274167841,274167912,71,93,88,39215688,1,245,274168157,274168230,73,93,112,39215688,1,187,274168417,274168430,13,73,88,39215688,1,1414,274169844,274169915,71,55,124,39215688,1,142,274170057,274170122,65,79,95,39215688,1,187,274170309,274170389,80,71,117,1,pin-length-6
39215688,1,274176689,274176765,76,104,88,39215688,1,203,274176968,274177041,73,112,88,39215688,1,285,274177326,274177399,73,107,120,39215688,1,383,274177782,274177857,75,130,100,39215688,1,154,274178011,274178075,64,86,87,39215688,1,144,274178219,274178275,56,91,124,1,pin-length-6
39215688,1,274321741,274321793,52,117,82,39215688,1,209,274322002,274322035,33,116,80,39215688,1,227,274322262,274322344,82,96,101,39215688,1,169,274322513,274322560,47,115,142,39215688,1,127,274322687,274322744,57,111,75,39215688,1,179,274322923,274322961,38,117,118,2,pin-length-6
39215688,1,274328077,274328137,60,95,44,39215688,1,202,274328339,274328388,49,107,85,39215688,1,255,274328643,274328712,69,95,122,39215688,1,590,274329302,274329345,43,144,114,39215688,1,184,274329529,274329580,51,77,85,39215688,1,201,274329781,274329838,57,73,59,2,pin-length-6
39215688,1,274335512,274335572,60,103,102,39215688,1,229,274335801,274335840,39,149,107,39215688,1,234,274336074,274336172,98,86,61,39215688,1,177,274336349,274336381,32,81,139,39215688,1,162,274336543,274336590,47,83,81,39215688,1,193,274336783,274336831,48,103,128,2,pin-length-6
39215688,1,274342502,274342559,57,95,102,39215688,1,217,274342776,274342825,49,84,74,39215688,1,238,274343063,274343150,87,65,105,39215688,1,159,274343309,274343366,57,83,136,39215688,1,153,274343519,274343567,48,91,12,39215688,1,212,274343779,274343817,38,87,114,2,pin-length-6
39215688,1,274349239,274349327,88,110,76,39215688,1,168,274349495,274349546,51,118,121,39215688,1,241,274349787,274349835,48,112,77,39215688,1,614,274350449,274350477,28,123,108,39215688,1,892,274351369,274351395,26,114,81,39215688,1,281,274351676,274351719,43,107,131,2,pin-length-6
39215688,1,274470368,274470431,63,93,64,39215688,1,225,274470656,274470713,57,70,98,39215688,1,144,274470857,274470906,49,100,89,39215688,1,110,274471016,274471090,74,95,125,39215688,1,142,274471232,274471281,49,82,78,39215688,1,110,274471391,274471425,34,72,102,3,pin-length-6
39215688,1,274476288,274476365,77,98,68,39215688,1,196,274476561,274476624,63,72,131,39215688,1,152,274476776,274476815,39,114,80,39215688,1,78,274476893,274476941,48,59,82,39215688,1,84,274477025,274477075,50,139,74,39215688,1,85,274477160,274477183,23,72,83,3,pin-length-6
