area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,350053985,350054069,84,128,80,0,0.003921568859369,285,350054354,350054431,77,138,122,0,0.003921568859369,1030,350055461,350055529,68,99,94,0,0.003921568859369,175,350055704,350055773,69,79,111,1,pin-length-4
0,0.003921568859369,350134184,350134276,92,140,108,0,0.003921568859369,159,350134435,350134495,60,103,88,0,0.003921568859369,175,350134670,350134765,95,158,86,0,0.003921568859369,125,350134890,350134967,77,71,120,1,pin-length-4
0,0.003921568859369,350141471,350141538,67,144,73,0,0.003921568859369,159,350141697,350141756,59,168,113,0,0.003921568859369,176,350141932,350142000,68,119,105,0,0.003921568859369,75,350142075,350142152,77,68,106,1,pin-length-4
0,0.003921568859369,350159737,350159805,68,144,122,0,0.003921568859369,134,350159939,350160007,68,146,103,0,0.003921568859369,142,350160149,350160217,68,122,91,0,0.003921568859369,59,350160276,350160370,94,42,70,1,pin-length-4
0,0.003921568859369,380547831,380547881,50,133,84,0,0.003921568859369,143,380548024,380548074,50,188,30,0,0.003921568859369,118,380548192,380548243,51,45,94,0,0.003921568859369,109,380548352,380548420,68,87,132,1,pin-length-4
0,0.003921568859369,380551216,380551266,50,111,108,0,0.003921568859369,151,380551417,380551459,42,97,73,0,0.003921568859369,151,380551610,380551652,42,113,106,0,0.003921568859369,109,380551761,380551803,42,88,121,1,pin-length-4
0,0.003921568859369,380553957,380554024,67,109,68,0,0.003921568859369,110,380554134,380554202,68,60,78,0,0.003921568859369,110,380554312,380554397,85,80,115,0,0.003921568859369,160,380554557,380554617,60,58,155,1,pin-length-4
0,0.003921568859369,380560330,380560674,344,117,104,0,0.003921568859369,477,380561151,380561452,301,120,92,0,0.003921568859369,576,380562028,380562261,233,126,107,0,0.003921568859369,2374,380564635,380564919,284,104,98,1,pin-length-4
0,0.003921568859369,380567491,380567777,286,123,91,0,0.003921568859369,608,380568385,380568653,268,135,101,0,0.003921568859369,601,380569254,380569608,354,127,99,0,0.003921568859369,635,380570243,380570621,378,138,107,1,pin-length-4
0,0.003921568859369,380572541,380572626,85,105,134,0,0.003921568859369,118,380572744,380572820,76,81,172,0,0.003921568859369,151,380572971,380573022,51,50,104,0,0.003921568859369,51,380573073,380573168,95,67,88,1,pin-length-4
0,0.003921568859369,380577347,380577397,50,95,107,0,0.003921568859369,159,380577556,380577616,60,126,97,0,0.003921568859369,151,380577767,380577826,59,83,112,0,0.003921568859369,93,380577919,380577987,68,88,83,1,pin-length-4
0,0.003921568859369,350064832,350064917,85,127,85,0,0.003921568859369,266,350065183,350065260,77,127,132,0,0.003921568859369,226,350065486,350065553,67,155,71,0,0.003921568859369,192,350065745,350065830,85,78,134,1,pin-length-4
0,0.003921568859369,380579912,380579971,59,61,97,0,0.003921568859369,235,380580206,380580283,77,37,85,0,0.003921568859369,300,380580583,380580659,76,60,144,0,0.003921568859369,276,380580935,380581004,69,151,103,1,pin-length-4
0,0.003921568859369,8426746,8426822,76,119,93,0,0.003921568859369,408,8427230,8427306,76,118,81,0,0.003921568859369,625,8427931,8427998,67,99,93,0,0.003921568859369,276,8428274,8428333,59,124,74,1,pin-length-4
0,0.003921568859369,8429705,8429764,59,116,98,0,0.003921568859369,210,8429974,8430050,76,89,91,0,0.003921568859369,234,8430284,8430370,86,50,100,0,0.003921568859369,292,8430662,8430729,67,115,94,1,pin-length-4
0,0.003921568859369,8432017,8432093,76,96,57,0,0.003921568859369,176,8432269,8432345,76,101,83,0,0.003921568859369,201,8432546,8432631,85,71,78,0,0.003921568859369,235,8432866,8432933,67,98,71,1,pin-length-4
0,0.003921568859369,8434251,8434317,66,111,90,0,0.003921568859369,168,8434485,8434553,68,118,98,0,0.003921568859369,200,8434753,8434847,94,77,89,0,0.003921568859369,284,8435131,8435180,49,95,111,1,pin-length-4
0,0.003921568859369,8436664,8436731,67,88,88,0,0.003921568859369,168,8436899,8436967,68,107,88,0,0.003921568859369,176,8437143,8437227,84,78,106,0,0.003921568859369,245,8437472,8437531,59,120,94,1,pin-length-4
0,0.003921568859369,350074161,350074220,59,124,68,0,0.003921568859369,226,350074446,350074513,67,145,150,0,0.003921568859369,242,350074755,350074814,59,175,96,0,0.003921568859369,234,350075048,350075124,76,45,128,1,pin-length-4
0,0.003921568859369,350082176,350082252,76,108,91,0,0.003921568859369,259,350082511,350082595,84,134,138,0,0.003921568859369,242,350082837,350082896,59,129,89,0,0.003921568859369,251,350083147,350083214,67,72,115,1,pin-length-4
0,0.003921568859369,350090721,350090779,58,100,88,0,0.003921568859369,309,350091088,350091156,68,135,116,0,0.003921568859369,700,350091856,350091923,67,122,107,0,0.003921568859369,192,350092115,350092191,76,89,136,1,pin-length-4
0,0.003921568859369,350100163,350100248,85,139,65,0,0.003921568859369,158,350100406,350100466,60,137,150,0,0.003921568859369,175,350100641,350100709,68,93,120,0,0.003921568859369,101,350100810,350100886,76,75,86,1,pin-length-4
0,0.003921568859369,350108624,350108692,68,108,69,0,0.003921568859369,167,350108859,350108926,67,129,135,0,0.003921568859369,176,350109102,350109170,68,120,113,0,0.003921568859369,125,350109295,350109363,68,56,100,1,pin-length-4
0,0.003921568859369,350116382,350116448,66,147,94,0,0.003921568859369,160,350116608,350116658,50,117,63,0,0.003921568859369,243,350116901,350116959,58,106,92,0,0.003921568859369,109,350117068,350117153,85,72,108,1,pin-length-4
0,0.003921568859369,350126267,350126343,76,109,89,0,0.003921568859369,176,350126519,350126596,77,103,117,0,0.003921568859369,167,350126763,350126839,76,76,117,0,0.003921568859369,85,350126924,350127017,93,77,105,1,pin-length-4
0,0.003921568859369,408093543,408093628,85,87,96,0,0.003921568859369,367,408093995,408094106,111,100,98,0,0.003921568859369,342,408094448,408094541,93,116,88,0,0.003921568859369,375,408094916,408095010,94,89,111,2,pin-length-4
0,0.003921568859369,408152820,408152982,162,110,90,0,0.003921568859369,134,408153116,408153296,180,138,109,0,0.003921568859369,168,408153464,408153621,157,107,82,0,0.003921568859369,276,408153897,408154044,147,114,118,2,pin-length-4
0,0.003921568859369,408157134,408157262,128,107,109,0,0.003921568859369,259,408157521,408157693,172,138,77,0,0.003921568859369,192,408157885,408158033,148,127,54,0,0.003921568859369,284,408158317,408158454,137,83,121,2,pin-length-4
0,0.003921568859369,408161434,408161569,135,97,128,0,0.003921568859369,76,408161645,408161783,138,102,119,0,0.003921568859369,167,408161950,408162079,129,107,71,0,0.003921568859369,201,408162280,408162434,154,101,80,2,pin-length-4
0,0.003921568859369,408165783,408165927,144,102,102,0,0.003921568859369,193,408166120,408166249,129,109,107,0,0.003921568859369,158,408166407,408166546,139,73,99,0,0.003921568859369,192,408166738,408166867,129,103,109,2,pin-length-4
0,0.003921568859369,408170237,408170347,110,114,92,0,0.003921568859369,184,408170531,408170668,137,111,79,0,0.003921568859369,184,408170852,408170972,120,89,58,0,0.003921568859369,283,408171255,408171393,138,128,88,2,pin-length-4
0,0.003921568859369,408174429,408174559,130,70,123,0,0.003921568859369,151,408174710,408174865,155,108,109,0,0.003921568859369,175,408175040,408175199,159,107,83,0,0.003921568859369,217,408175416,408175554,138,78,128,2,pin-length-4
0,0.003921568859369,408178640,408178778,138,91,92,0,0.003921568859369,167,408178945,408179109,164,129,101,0,0.003921568859369,201,408179310,408179466,156,109,95,0,0.003921568859369,242,408179708,408179853,145,134,75,2,pin-length-4
0,0.003921568859369,408182796,408182932,136,103,86,0,0.003921568859369,109,408183041,408183205,164,114,108,0,0.003921568859369,216,408183421,408183590,169,55,83,0,0.003921568859369,317,408183907,408184054,147,108,95,2,pin-length-4
0,0.003921568859369,408187621,408187758,137,109,92,0,0.003921568859369,151,408187909,408188055,146,119,132,0,0.003921568859369,183,408188238,408188386,148,104,95,0,0.003921568859369,242,408188628,408188774,146,96,93,2,pin-length-4
0,0.003921568859369,408191745,408191891,146,98,104,0,0.003921568859369,117,408192008,408192165,157,105,104,0,0.003921568859369,158,408192323,408192480,157,92,95,0,0.003921568859369,242,408192722,408192859,137,96,133,2,pin-length-4
0,0.003921568859369,408101713,408101840,127,97,79,0,0.003921568859369,292,408102132,408102259,127,108,111,0,0.003921568859369,242,408102501,408102639,138,118,92,0,0.003921568859369,241,408102880,408102974,94,108,98,2,pin-length-4
0,0.003921568859369,408195889,408196016,127,111,116,0,0.003921568859369,159,408196175,408196321,146,127,100,0,0.003921568859369,184,408196505,408196654,149,83,92,0,0.003921568859369,242,408196896,408197031,135,120,109,2,pin-length-4
0,1,51543371,51543419,48,27,60,0,1,556,51543975,51544073,98,67,37,0,1,372,51544445,51544526,81,60,57,0,1,338,51544864,51544936,72,65,80,2,pin-length-4
0,1,51546926,51547016,90,35,57,0,1,330,51547346,51547452,106,56,63,0,1,230,51547682,51547831,149,82,46,0,1,379,51548210,51548301,91,79,85,2,pin-length-4
0,1,51549427,51549516,89,53,75,0,1,347,51549863,51549969,106,64,72,0,1,263,51550232,51550348,116,63,37,0,1,320,51550668,51550767,99,68,83,2,pin-length-4
0,1,51552832,51552922,90,68,60,0,1,766,51553688,51553793,105,63,66,0,1,281,51554074,51554213,139,63,54,0,1,438,51554651,51554750,99,80,73,2,pin-length-4
0,1,51557135,51557233,98,68,72,0,1,331,51557564,51557686,122,56,104,0,1,330,51558016,51558156,140,53,62,0,1,262,51558418,51558508,90,75,63,2,pin-length-4
0,0.003921568859369,408106139,408106258,119,105,99,0,0.003921568859369,201,408106459,408106578,119,110,94,0,0.003921568859369,243,408106821,408106948,127,101,68,0,0.003921568859369,301,408107249,408107351,102,92,105,2,pin-length-4
0,0.003921568859369,408112217,408112362,145,93,82,0,0.003921568859369,226,408112588,408112733,145,108,113,0,0.003921568859369,209,408112942,408113107,165,113,94,0,0.003921568859369,250,408113357,408113503,146,89,82,2,pin-length-4
0,0.003921568859369,408117805,408117975,170,97,73,0,0.003921568859369,210,408118185,408118330,145,106,89,0,0.003921568859369,201,408118531,408118687,156,110,93,0,0.003921568859369,309,408118996,408119134,138,107,103,2,pin-length-4
0,0.003921568859369,408124057,408124171,114,107,117,0,0.003921568859369,192,408124363,408124535,172,123,73,0,0.003921568859369,209,408124744,408124893,149,98,103,0,0.003921568859369,249,408125142,408125305,163,79,78,2,pin-length-4
0,0.003921568859369,408132664,408132817,153,106,103,0,0.003921568859369,200,408133017,408133165,148,122,108,0,0.003921568859369,208,408133373,408133520,147,78,86,0,0.003921568859369,218,408133738,408133866,128,62,165,2,pin-length-4
0,0.003921568859369,408141202,408141340,138,92,106,0,0.003921568859369,186,408141526,408141672,146,107,106,0,0.003921568859369,176,408141848,408141996,148,113,80,0,0.003921568859369,292,408142288,408142442,154,84,92,2,pin-length-4
0,0.003921568859369,408145805,408145934,129,91,109,0,0.003921568859369,243,408146177,408146332,155,105,85,0,0.003921568859369,192,408146524,408146672,148,104,49,0,0.003921568859369,250,408146922,408147060,138,86,110,2,pin-length-4
0,1,207740898,207741094,196,68,46,0,1,602,207741696,207741841,145,87,86,0,1,493,207742334,207742463,129,91,79,0,1,598,207743061,207743191,130,102,77,3,pin-length-4
0,1,207829931,207830064,133,98,60,0,1,856,207830920,207831069,149,83,76,0,1,579,207831648,207831747,99,92,73,0,1,515,207832262,207832361,99,82,79,3,pin-length-4
0,1,207835063,207835186,123,91,65,0,1,690,207835876,207836008,132,90,65,0,1,522,207836530,207836645,115,98,78,0,1,405,207837050,207837158,108,74,64,3,pin-length-4
0,1,207839885,207839993,108,96,58,0,1,681,207840674,207840789,115,85,71,0,1,498,207841287,207841402,115,96,70,0,1,463,207841865,207841963,98,75,61,3,pin-length-4
0,1,207844743,207844882,139,100,54,0,1,724,207845606,207845721,115,85,72,0,1,539,207846260,207846375,115,92,72,0,1,455,207846830,207846955,125,86,61,3,pin-length-4
0,1,207850262,207850378,116,82,68,0,1,579,207850957,207851065,108,83,81,0,1,522,207851587,207851703,116,103,76,0,1,428,207852131,207852230,99,85,81,3,pin-length-4
0,1,207858556,207858705,149,98,49,0,1,606,207859311,207859460,149,87,79,0,1,481,207859941,207860047,106,91,70,0,1,438,207860485,207860584,99,61,72,3,pin-length-4
0,1,207873966,207874098,132,102,61,0,1,656,207874754,207874869,115,83,63,0,1,657,207875526,207875632,106,82,61,0,1,414,207876046,207876161,115,78,75,3,pin-length-4
0,1,207884719,207884825,106,87,58,0,1,548,207885373,207885472,99,84,78,0,1,479,207885951,207886066,115,93,77,0,1,414,207886480,207886569,89,83,78,3,pin-length-4
0,1,207889147,207889287,140,91,59,0,1,784,207890071,207890193,122,89,64,0,1,431,207890624,207890722,98,91,68,0,1,295,207891017,207891142,125,64,69,3,pin-length-4
0,1,207893777,207893933,156,99,47,0,1,590,207894523,207894638,115,79,78,0,1,380,207895018,207895125,107,103,75,0,1,354,207895479,207895587,108,96,74,3,pin-length-4
0,1,207745627,207745750,123,90,77,0,1,651,207746401,207746506,105,85,81,0,1,927,207747433,207747562,129,96,61,0,1,431,207747993,207748106,113,83,65,3,pin-length-4
0,1,207902199,207902321,122,101,79,0,1,716,207903037,207903136,99,76,79,0,1,455,207903591,207903706,115,93,75,0,1,338,207904044,207904150,106,57,67,3,pin-length-4
0,1,279236586,279237210,624,81,60,0,1,1044,279238254,279238378,124,87,76,0,1,3694,279242072,279242243,171,93,71,0,1,432,279242675,279242898,223,99,76,3,pin-length-4
0,1,279250886,279251133,247,93,65,0,1,910,279252043,279252200,157,87,67,0,1,615,279252815,279252945,130,89,72,0,1,341,279253286,279253391,105,66,74,3,pin-length-4
0,1,279256213,279256344,131,77,54,0,1,749,279257093,279257240,147,90,80,0,1,416,279257656,279257793,137,88,66,0,1,315,279258108,279258213,105,65,82,3,pin-length-4
0,1,279262545,279262702,157,76,67,0,1,733,279263435,279263591,156,94,75,0,1,387,279263978,279264067,89,91,77,0,1,290,279264357,279264470,113,72,80,3,pin-length-4
0,1,279266363,279266483,120,83,57,0,1,667,279267150,279267272,122,92,64,0,1,340,279267612,279267718,106,86,73,0,1,261,279267979,279268077,98,75,67,3,pin-length-4
0,1,207749295,207749414,119,75,57,0,1,526,207749940,207750035,95,76,79,0,1,401,207750436,207750531,95,80,64,0,1,357,207750888,207750991,103,85,69,3,pin-length-4
0,1,207770941,207771105,164,102,51,0,1,1397,207772502,207772641,139,95,85,0,1,682,207773323,207773447,124,94,65,0,1,497,207773944,207774084,140,79,67,3,pin-length-4
0,1,207776175,207776339,164,100,52,0,1,853,207777192,207777312,120,92,74,0,1,491,207777803,207777916,113,90,73,0,1,424,207778340,207778436,96,86,63,3,pin-length-4
0,1,207780713,207780834,121,81,59,0,1,1160,207781994,207782102,108,78,75,0,1,622,207782724,207782830,106,82,75,0,1,465,207783295,207783400,105,76,72,3,pin-length-4
0,1,207787868,207787974,106,81,59,0,1,843,207788817,207788930,113,87,85,0,1,548,207789478,207789592,114,79,69,0,1,483,207790075,207790171,96,70,69,3,pin-length-4
0,1,207795366,207795496,130,98,81,0,1,759,207796255,207796385,130,95,76,0,1,475,207796860,207797006,146,84,73,0,1,390,207797396,207797509,113,62,64,3,pin-length-4
0,1,207821184,207821323,139,94,47,0,1,1102,207822425,207822555,130,93,66,0,1,517,207823072,207823193,121,81,71,0,1,389,207823582,207823696,114,64,52,3,pin-length-4
431372576,1,22841260,22841342,82,88,98,470588288,1,334,22841676,22841777,101,86,102,431372576,1,208,22841985,22842076,91,27,99,549019648,1,303,22842379,22842451,72,105,97,4,pin-length-4
352941184,1,22869181,22869269,88,83,96,431372576,1,134,22869403,22869477,74,136,98,392156864,1,118,22869595,22869686,91,77,97,392156864,1,167,22869853,22869936,83,94,104,4,pin-length-4
509803968,1,22871690,22871770,80,107,84,509803968,1,142,22871912,22872004,92,129,83,392156864,1,133,22872137,22872222,85,81,94,470588288,1,244,22872466,22872544,78,115,105,4,pin-length-4
392156864,1,22874364,22874470,106,90,139,509803968,1,143,22874613,22874704,91,126,79,509803968,1,134,22874838,22874922,84,95,72,470588288,1,166,22875088,22875171,83,108,79,4,pin-length-4
431372576,1,22876781,22876854,73,97,115,470588288,1,152,22877006,22877080,74,132,127,392156864,1,125,22877205,22877288,83,35,99,352941184,1,151,22877439,22877505,66,74,117,4,pin-length-4
392156864,1,22879232,22879330,98,88,81,509803968,1,126,22879456,22879505,49,81,94,509803968,1,151,22879656,22879747,91,143,138,431372576,1,60,22879807,22879907,100,93,101,4,pin-length-4
274509824,1,22881350,22881406,56,92,89,627451008,1,159,22881565,22881614,49,36,90,352941184,1,151,22881765,22881797,32,10,152,313725504,1,2306,22884103,22884198,95,91,80,4,pin-length-4
392156864,1,22886675,22886767,92,91,97,549019648,1,117,22886884,22886958,74,137,76,431372576,1,117,22887075,22887149,74,109,95,392156864,1,143,22887292,22887358,66,72,102,4,pin-length-4
431372576,1,22889321,22889417,96,99,91,470588288,1,135,22889552,22889617,65,109,120,549019648,1,126,22889743,22889826,83,87,69,431372576,1,159,22889985,22890059,74,83,107,4,pin-length-4
