timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
274091077,274091131,54,90,111,356,274091487,274091531,44,125,76,574,274092105,274092182,77,77,116,161,274092343,274092431,88,86,75,1,pin-length-4
274100552,274100633,81,110,86,243,274100876,274100933,57,96,113,185,274101118,274101176,58,102,76,159,274101335,274101384,49,87,115,1,pin-length-4
274106548,274106610,62,82,120,202,274106812,274106855,43,88,130,199,274107054,274107110,56,91,51,121,274107231,274107311,80,91,87,1,pin-length-4
274112183,274112246,63,85,96,235,274112481,274112529,48,79,106,195,274112724,274112763,39,103,62,204,274112967,274113030,63,74,85,1,pin-length-4
274117902,274117981,79,93,92,549,274118530,274118590,60,114,88,368,274118958,274118990,32,75,78,184,274119174,274119247,73,55,79,1,pin-length-4
274272042,274272111,69,113,57,272,274272383,274272437,54,132,130,178,274272615,274272679,64,120,78,208,274272887,274272921,34,114,66,2,pin-length-4
274283227,274283281,54,60,92,168,274283449,274283531,82,113,86,155,274283686,274283733,47,63,119,225,274283958,274284007,49,57,74,2,pin-length-4
274289850,274289908,58,63,110,119,274290027,274290117,90,99,109,194,274290311,274290401,90,113,77,262,274290663,274290709,46,104,108,2,pin-length-4
274298889,274298969,80,93,128,85,274299054,274299137,83,103,81,151,274299288,274299345,57,94,68,211,274299556,274299603,47,110,136,2,pin-length-4
274304739,274304788,49,75,125,234,274305022,274305080,58,87,82,178,274305258,274305321,63,78,110,258,274305579,274305639,60,104,131,2,pin-length-4
274433407,274433486,79,108,60,212,274433698,274433769,71,138,76,161,274433930,274433970,40,116,50,137,274434107,274434170,63,73,106,3,pin-length-4
274438863,274438954,91,88,74,234,274439188,274439254,66,96,116,167,274439421,274439462,41,123,94,118,274439580,274439613,33,65,101,3,pin-length-4
274444548,274444613,65,95,58,243,274444856,274444913,57,94,106,169,274445082,274445105,23,136,45,135,274445240,274445281,41,73,129,3,pin-length-4
274450285,274450349,64,82,61,192,274450541,274450599,58,100,149,143,274450742,274450791,49,103,107,109,274450900,274450933,33,74,110,3,pin-length-4
274456006,274456093,87,102,72,168,274456261,274456310,49,134,26,171,274456481,274456510,29,151,81,119,274456629,274456677,48,64,135,3,pin-length-4
274688282,274688347,65,75,75,77,274688424,274688464,40,111,95,177,274688641,274688665,24,156,119,128,274688793,274688856,63,86,68,4,pin-length-4
274694145,274694182,37,73,57,110,274694292,274694334,42,83,47,219,274694553,274694600,47,125,45,110,274694710,274694783,73,77,69,4,pin-length-4
274700111,274700167,56,86,53,77,274700244,274700318,74,106,83,176,274700494,274700526,32,104,73,101,274700627,274700702,75,88,67,4,pin-length-4
274705514,274705561,47,82,94,176,274705737,274705787,50,110,69,160,274705947,274705994,47,100,43,121,274706115,274706178,63,89,100,4,pin-length-4
274711092,274711146,54,96,89,210,274711356,274711388,32,71,53,212,274711600,274711647,47,112,84,145,274711792,274711813,21,96,65,4,pin-length-4
224268867,224268926,59,132,66,593,224269519,224269604,85,122,111,161,224269765,224269824,59,93,89,276,224270100,224270151,51,121,91,7,pin-length-4
224271371,224271430,59,114,94,759,224272189,224272265,76,87,113,334,224272599,224272684,85,92,108,484,224273168,224273227,59,170,98,7,pin-length-4
