timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
350053985,350054069,84,128,80,285,350054354,350054431,77,138,122,1030,350055461,350055529,68,99,94,175,350055704,350055773,69,79,111,1,pin-length-4
350134184,350134276,92,140,108,159,350134435,350134495,60,103,88,175,350134670,350134765,95,158,86,125,350134890,350134967,77,71,120,1,pin-length-4
350141471,350141538,67,144,73,159,350141697,350141756,59,168,113,176,350141932,350142000,68,119,105,75,350142075,350142152,77,68,106,1,pin-length-4
350159737,350159805,68,144,122,134,350159939,350160007,68,146,103,142,350160149,350160217,68,122,91,59,350160276,350160370,94,42,70,1,pin-length-4
380547831,380547881,50,133,84,143,380548024,380548074,50,188,30,118,380548192,380548243,51,45,94,109,380548352,380548420,68,87,132,1,pin-length-4
380551216,380551266,50,111,108,151,380551417,380551459,42,97,73,151,380551610,380551652,42,113,106,109,380551761,380551803,42,88,121,1,pin-length-4
380553957,380554024,67,109,68,110,380554134,380554202,68,60,78,110,380554312,380554397,85,80,115,160,380554557,380554617,60,58,155,1,pin-length-4
380560330,380560674,344,117,104,477,380561151,380561452,301,120,92,576,380562028,380562261,233,126,107,2374,380564635,380564919,284,104,98,1,pin-length-4
380567491,380567777,286,123,91,608,380568385,380568653,268,135,101,601,380569254,380569608,354,127,99,635,380570243,380570621,378,138,107,1,pin-length-4
380572541,380572626,85,105,134,118,380572744,380572820,76,81,172,151,380572971,380573022,51,50,104,51,380573073,380573168,95,67,88,1,pin-length-4
380577347,380577397,50,95,107,159,380577556,380577616,60,126,97,151,380577767,380577826,59,83,112,93,380577919,380577987,68,88,83,1,pin-length-4
350064832,350064917,85,127,85,266,350065183,350065260,77,127,132,226,350065486,350065553,67,155,71,192,350065745,350065830,85,78,134,1,pin-length-4
380579912,380579971,59,61,97,235,380580206,380580283,77,37,85,300,380580583,380580659,76,60,144,276,380580935,380581004,69,151,103,1,pin-length-4
8426746,8426822,76,119,93,408,8427230,8427306,76,118,81,625,8427931,8427998,67,99,93,276,8428274,8428333,59,124,74,1,pin-length-4
8429705,8429764,59,116,98,210,8429974,8430050,76,89,91,234,8430284,8430370,86,50,100,292,8430662,8430729,67,115,94,1,pin-length-4
8432017,8432093,76,96,57,176,8432269,8432345,76,101,83,201,8432546,8432631,85,71,78,235,8432866,8432933,67,98,71,1,pin-length-4
8434251,8434317,66,111,90,168,8434485,8434553,68,118,98,200,8434753,8434847,94,77,89,284,8435131,8435180,49,95,111,1,pin-length-4
8436664,8436731,67,88,88,168,8436899,8436967,68,107,88,176,8437143,8437227,84,78,106,245,8437472,8437531,59,120,94,1,pin-length-4
350074161,350074220,59,124,68,226,350074446,350074513,67,145,150,242,350074755,350074814,59,175,96,234,350075048,350075124,76,45,128,1,pin-length-4
350082176,350082252,76,108,91,259,350082511,350082595,84,134,138,242,350082837,350082896,59,129,89,251,350083147,350083214,67,72,115,1,pin-length-4
350090721,350090779,58,100,88,309,350091088,350091156,68,135,116,700,350091856,350091923,67,122,107,192,350092115,350092191,76,89,136,1,pin-length-4
350100163,350100248,85,139,65,158,350100406,350100466,60,137,150,175,350100641,350100709,68,93,120,101,350100810,350100886,76,75,86,1,pin-length-4
350108624,350108692,68,108,69,167,350108859,350108926,67,129,135,176,350109102,350109170,68,120,113,125,350109295,350109363,68,56,100,1,pin-length-4
